id,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,calculated_host_listings_count
5127211,2,1,1,1,1675,1,609,2,1125,29,59,89,364,4,5
5137109,2,1,1,1,1311,1,0,7,1125,0,0,0,0,0,1
5137791,2,1,1,1,1677,1,0,1,1125,0,0,0,0,0,1
5175738,4,1,1,2,1189,2,600,1,1125,2,10,35,121,147,4
5177145,4,1,1,2,2406,4,0,1,1125,30,60,84,169,4,8
5177257,6,1,1,3,1799,2,500,2,90,28,58,81,351,41,14
5179356,10,1,2,6,3202,4,800,1,1125,22,52,77,254,29,14
5184999,6,1,1,3,1189,1,350,1,1125,14,44,74,165,212,10
5186996,6,1,0,3,1891,2,528,2,365,7,22,44,309,192,5
5187156,2,2,1,2,731,1,200,1,1125,0,0,0,275,29,12
5190400,2,1,1,1,2193,2,300,28,90,29,59,89,179,57,5
